x y z
0 0 50
0.1 4.97515 49.5045
0.2 9.90119 49.0177
0.3 14.779 48.5395
0.4 19.6094 48.0696
0.5 24.3932 47.6077
0.6 29.1312 47.1537
0.7 33.8242 46.7074
0.8 38.4729 46.2686
0.9 43.0781 45.837
1 47.6405 45.4124
1.1 52.1608 44.9948
1.2 56.6397 44.5839
1.3 61.0778 44.1796
1.4 65.4758 43.7817
1.5 69.8344 43.39
1.6 74.154 43.0043
1.7 78.4354 42.6247
1.8 82.6792 42.2508
1.9 86.8858 41.8825
2 91.0559 41.5198
2.1 95.1899 41.1625
2.2 99.2885 40.8105
2.3 103.352 40.4636
2.4 107.381 40.1217
2.5 111.377 39.7847
2.6 115.339 39.4526
2.7 119.267 39.1251
2.8 123.164 38.8022
2.9 127.028 38.4838
3 130.861 38.1698
3.1 134.662 37.8601
3.2 138.433 37.5547
3.3 142.173 37.2533
3.4 145.884 36.9559
3.5 149.564 36.6625
3.6 153.216 36.3729
3.7 156.839 36.0871
3.8 160.434 35.805
3.9 164 35.5265
4 167.539 35.2516
4.1 171.051 34.9802
4.2 174.535 34.7121
4.3 177.993 34.4474
4.4 181.425 34.186
4.5 184.831 33.9277
4.6 188.211 33.6726
4.7 191.565 33.4206
4.8 194.895 33.1716
4.9 198.2 32.9256
5 201.48 32.6825
5.1 204.736 32.4422
5.2 207.969 32.2047
5.3 211.177 31.97
5.4 214.363 31.7379
5.5 217.525 31.5085
5.6 220.664 31.2817
5.7 223.781 31.0574
5.8 226.876 30.8357
5.9 229.949 30.6164
6 232.999 30.3995
6.1 236.029 30.1849
6.2 239.036 29.9727
6.3 242.023 29.7628
6.4 244.989 29.5551
6.5 247.934 29.3496
6.6 250.859 29.1463
6.7 253.764 28.9451
6.8 256.648 28.746
6.9 259.513 28.5489
7 262.358 28.3539
7.1 265.184 28.1609
7.2 267.99 27.9698
7.3 270.778 27.7806
7.4 273.546 27.5933
7.5 276.296 27.4079
7.6 279.028 27.2243
7.7 281.741 27.0425
7.8 284.437 26.8624
7.9 287.114 26.6841
8 289.773 26.5075
8.1 292.415 26.3326
8.2 295.04 26.1593
8.3 297.647 25.9877
8.4 300.238 25.8176
8.5 302.811 25.6492
8.6 305.367 25.4823
8.7 307.907 25.3169
8.8 310.431 25.153
8.9 312.938 24.9906
9 315.429 24.8297
9.1 317.904 24.6702
9.2 320.363 24.5121
9.3 322.806 24.3554
9.4 325.234 24.2
9.5 327.647 24.0461
9.6 330.044 23.8934
9.7 332.425 23.7421
9.8 334.792 23.592
9.9 337.144 23.4432
10 339.481 23.2957
10.1 341.803 23.1494
10.2 344.111 23.0044
10.3 346.404 22.8605
10.4 348.683 22.7178
10.5 350.947 22.5763
10.6 353.198 22.4359
10.7 355.435 22.2967
10.8 357.657 22.1585
10.9 359.866 22.0215
11 362.062 21.8856
11.1 364.244 21.7507
11.2 366.412 21.6169
11.3 368.567 21.4841
11.4 370.709 21.3523
11.5 372.837 21.2216
11.6 374.953 21.0918
11.7 377.056 20.9631
11.8 379.146 20.8353
11.9 381.223 20.7084
12 383.287 20.5825
12.1 385.339 20.4576
12.2 387.379 20.3335
12.3 389.406 20.2104
12.4 391.421 20.0882
12.5 393.424 19.9668
12.6 395.415 19.8463
12.7 397.393 19.7267
12.8 399.36 19.6079
12.9 401.315 19.49
13 403.258 19.3729
13.1 405.189 19.2566
13.2 407.109 19.1411
13.3 409.018 19.0264
13.4 410.915 18.9124
13.5 412.8 18.7993
13.6 414.674 18.6869
13.7 416.538 18.5753
13.8 418.39 18.4644
13.9 420.23 18.3543
14 422.06 18.2449
14.1 423.879 18.1362
14.2 425.688 18.0282
14.3 427.485 17.9209
14.4 429.272 17.8143
14.5 431.048 17.7084
14.6 432.814 17.6032
14.7 434.569 17.4986
14.8 436.313 17.3947
14.9 438.048 17.2914
15 439.772 17.1888
15.1 441.485 17.0868
15.2 443.189 16.9855
15.3 444.883 16.8848
15.4 446.566 16.7846
15.5 448.239 16.6851
15.6 449.903 16.5862
15.7 451.557 16.4878
15.8 453.201 16.3901
15.9 454.835 16.2929
16 456.459 16.1963
16.1 458.074 16.1003
16.2 459.679 16.0048
16.3 461.275 15.9098
16.4 462.861 15.8155
16.5 464.438 15.7216
16.6 466.006 15.6283
16.7 467.564 15.5355
16.8 469.113 15.4432
16.9 470.652 15.3514
17 472.183 15.2602
17.1 473.705 15.1694
17.2 475.217 15.0791
17.3 476.72 14.9894
17.4 478.215 14.9001
17.5 479.7 14.8113
17.6 481.177 14.7229
17.7 482.645 14.635
17.8 484.104 14.5476
17.9 485.555 14.4607
18 486.996 14.3742
18.1 488.429 14.2881
18.2 489.854 14.2025
18.3 491.27 14.1174
18.4 492.677 14.0326
18.5 494.076 13.9483
18.6 495.467 13.8644
18.7 496.849 13.781
18.8 498.223 13.6979
18.9 499.589 13.6153
19 500.946 13.533
19.1 502.296 13.4512
19.2 503.637 13.3697
19.3 504.97 13.2887
19.4 506.294 13.208
19.5 507.611 13.1277
19.6 508.92 13.0478
19.7 510.221 12.9683
19.8 511.514 12.8892
19.9 512.799 12.8104
20 514.076 12.7319
20.1 515.345 12.6539
20.2 516.606 12.5762
20.3 517.86 12.4988
20.4 519.106 12.4218
20.5 520.345 12.3451
20.6 521.575 12.2688
20.7 522.798 12.1928
20.8 524.014 12.1172
20.9 525.222 12.0419
21 526.422 11.9669
21.1 527.615 11.8922
21.2 528.801 11.8178
21.3 529.979 11.7438
21.4 531.149 11.6701
21.5 532.313 11.5967
21.6 533.469 11.5236
21.7 534.618 11.4507
21.8 535.759 11.3782
21.9 536.893 11.306
22 538.02 11.2341
22.1 539.14 11.1625
22.2 540.253 11.0912
22.3 541.358 11.0201
22.4 542.457 10.9493
22.5 543.548 10.8789
22.6 544.632 10.8086
22.7 545.71 10.7387
22.8 546.78 10.669
22.9 547.844 10.5996
23 548.9 10.5305
23.1 549.95 10.4616
23.2 550.993 10.393
23.3 552.028 10.3247
23.4 553.057 10.2565
23.5 554.08 10.1887
23.6 555.095 10.1211
23.7 556.104 10.0537
23.8 557.106 9.98662
23.9 558.101 9.91975
24 559.09 9.85312
24.1 560.072 9.78672
24.2 561.047 9.72056
24.3 562.016 9.65463
24.4 562.978 9.58893
24.5 563.934 9.52346
24.6 564.883 9.45821
24.7 565.825 9.39318
24.8 566.762 9.32837
24.9 567.691 9.26378
25 568.614 9.19941
25.1 569.531 9.13525
